session_id,"question_key","answer_value",answer_order
1396147,"currentSavings","3",22
1396147,"location","4d11a238a3fd1c9801973dc00fba1b0d",19
1396148,"currentSavings","1",23
1396148,"location","cd0e9d013a5bb2fce93b3e4c26877d6b",20
1396149,"currentSavings","3",23
1396149,"location","751e51bd087e74aa43b9ee0d7167f1ab",20
1396150,"currentSavings","3",24
1396150,"location","16eec7a9b0948c3688f6c222430b0784",21
1396151,"currentSavings","2",24
1396151,"location","b683f69e9aabb8809d1d264bf17f8193",21
1396152,"currentSavings","3",22
1396152,"location","febf0a2947e15b8c67feb9366b79aa46",19
1396153,"currentSavings","3",24
1396153,"location","b4bc852d233dfefc5131f593b538befa",21
1396154,"currentSavings","3",23
1396154,"location","c762bb6ac659412b50f8c40a1def04b2",20
1396155,"currentSavings","3",23
1396155,"location","6e52547a0e7bca35975b6f1f8761e7ae",20
1396156,"currentSavings","4",24
1396156,"location","9954218c49f8749be108a33def505aba",21
1396157,"currentSavings","3",26
1396157,"location","a4cfff2f82da85e81bb59f671dc8bb1d",23
1396158,"currentSavings","0",22
1396158,"location","ed1dac006b5ef6170e646d7eb9ee2d1a",19
1396159,"currentSavings","0",22
1396159,"location","3b54099471a0e033ecae5cc459e090f2",19
1396160,"currentSavings","3",22
1396160,"location","5ad73b73b934d213e6c8c4b9defeb5be",19
1396161,"currentSavings","0",22
1396161,"location","cc5365068a04ef4474e262c73238b370",19
1396162,"currentSavings","0",23
1396162,"location","f8b1a4ecb13dc44c448ce82a6e4b5c71",20
1396163,"currentSavings","3",24
1396163,"location","bfbbf188d7ddb47c10611fe4f4b2ed13",21
1396164,"currentSavings","4",24
1396164,"location","abb451a12cf1a9d93292e81f0d4fdd7a",21
1396165,"currentSavings","4",25
1396165,"location","db00f1b7fdf48fd26b5fb5f309e9afaf",22
1396166,"currentSavings","1",24
1396166,"location","d86a79ee232f4af3ef68a030777c650a",21
1396167,"currentSavings","5",23
1396167,"location","8ed6f70eea41393320aa4cfebb279a24",20
1396168,"currentSavings","0",24
1396168,"location","373590403f80d686f78b18a45ddd22ef",21
1396169,"currentSavings","5",24
1396169,"location","122996be32f510dcb5671404a97d2204",21
1396170,"currentSavings","0",23
1396170,"location","5dddaf9d765767a1a9fbce4362325e89",20
1396171,"currentSavings","3",24
1396171,"location","72e7e3fda05043527dfd3e7376ff239c",21
1396172,"currentSavings","5",24
1396172,"location","2ae659bde981b0ad9c0f24835a8d1232",21
1396173,"currentSavings","1",25
1396173,"location","92286914170235253ae3df2102575cf4",22
1396174,"currentSavings","3",21
1396174,"location","c1ef41ae178e91d44a42ab555a79bfae",18
1396175,"currentSavings","1",22
1396175,"location","2383c7d07bce3c82e6da7741782de416",19
1396176,"currentSavings","2",25
1396176,"location","626f508cb2cf0102a0a123a455139924",22
1396177,"currentSavings","4",24
1396177,"location","31981de171ad78f26b2cd0c7076d5527",21
1396178,"currentSavings","2",23
1396178,"location","fc4e60f4fcea7a3008d593ba66e46bc2",20
1396179,"currentSavings","3",23
1396179,"location","408d5bef7badea16a94ad4131dff3dce",20
1396180,"currentSavings","3",23
1396180,"location","d1c5e347f160c216d5b0967481b6334e",20
1396181,"currentSavings","0",24
1396181,"location","072bae9c228c557484c13686140c3e41",21
1396182,"currentSavings","1",22
1396182,"location","21cd1658dfd2507648e76c416ff04265",19
1396183,"currentSavings","4",23
1396183,"location","5658abf78fe1ed8a891ac0e0a523afed",20
1396184,"currentSavings","3",23
1396184,"location","5fbcf70d27063b784f44cac35923997b",20
1396185,"currentSavings","0",25
1396185,"location","c3981c46bd4ddced63aff5fbe9a54463",22
1396186,"currentSavings","3",24
1396186,"location","9a4df3d6161ef9102ddbc77644593d53",21
1396187,"currentSavings","4",22
1396187,"location","5658abf78fe1ed8a891ac0e0a523afed",19
1396188,"currentSavings","1",23
1396188,"location","b1a3fd1d7a2cf89118a0a9b440757634",20
1396189,"currentSavings","1",22
1396189,"location","3fbc2e926f3f3d8e1448c5fe4706549d",19
1396190,"currentSavings","0",23
1396190,"location","722f30b98c32199339f93d46d8e921b7",20
1396191,"currentSavings","2",25
1396191,"location","12a422c0676b655a5dbda563c5584404",22
1396192,"currentSavings","5",25
1396192,"location","a56b6ea9b986428c2ab2fb458f5da882",22
1396193,"currentSavings","0",22
